window_id,start_time,end_time,count,expected,z,q_value,pro_rate,delta_pro_rate,dup_fraction,near_dup_fraction,name_weirdness_mean,support_n,evidence_tier,primary_explanation,secondary_explanation,score,is_low_power,caveat_flags,evidence_kinds,source_detectors,score_primary_driver,score_detector_breakdown,score_signal_breakdown,count_raw,count_exact_row_dedup,count_delta,count_relative_delta,pro_rate_raw,pro_rate_exact_row_dedup,pro_rate_delta,dup_fraction_raw,dup_fraction_exact_row_dedup,dup_fraction_delta
w_20260206T115600_20260206T115600,2026-02-06T11:56:00-08:00,2026-02-06T11:56:00-08:00,37.0,19.94164193867458,,0.0,0.13513513513513514,,0.0,1.0,,79348,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T115600_20260206T115600:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),37.0,37.0,0.0,0.0,0.13513513513513514,0.13513513513513514,0.0,0.0,0.0,0.0
w_20260206T115500_20260206T115500,2026-02-06T11:55:00-08:00,2026-02-06T11:55:00-08:00,34.0,19.94164193867458,,0.0,0.20588235294117646,,0.0,1.0,,79311,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T115500_20260206T115500:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),34.0,34.0,0.0,0.0,0.20588235294117646,0.20588235294117646,0.0,0.0,0.0,0.0
w_20260206T115400_20260206T115400,2026-02-06T11:54:00-08:00,2026-02-06T11:54:00-08:00,39.0,19.94164193867458,,0.0,0.15384615384615385,,0.0,1.0,,79277,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T115400_20260206T115400:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),39.0,39.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0
w_20260206T115300_20260206T115300,2026-02-06T11:53:00-08:00,2026-02-06T11:53:00-08:00,51.0,19.94164193867458,,0.0,0.17647058823529413,,0.0,1.0,,79238,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T115300_20260206T115300:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),51.0,51.0,0.0,0.0,0.17647058823529413,0.17647058823529413,0.0,0.0,0.0,0.0
w_20260206T115200_20260206T115200,2026-02-06T11:52:00-08:00,2026-02-06T11:52:00-08:00,31.0,19.94164193867458,,0.0,0.22580645161290322,,0.0,1.0,,79187,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T115200_20260206T115200:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),31.0,31.0,0.0,0.0,0.22580645161290322,0.22580645161290322,0.0,0.0,0.0,0.0
w_20260206T115100_20260206T115100,2026-02-06T11:51:00-08:00,2026-02-06T11:51:00-08:00,35.0,19.94164193867458,,0.0,0.2,,0.0,1.0,,79156,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T115100_20260206T115100:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),35.0,35.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0
w_20260206T115000_20260206T115000,2026-02-06T11:50:00-08:00,2026-02-06T11:50:00-08:00,49.0,19.94164193867458,,0.0,0.16326530612244897,,0.0,1.0,,79121,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T115000_20260206T115000:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),49.0,49.0,0.0,0.0,0.16326530612244897,0.16326530612244897,0.0,0.0,0.0,0.0
w_20260206T114900_20260206T114900,2026-02-06T11:49:00-08:00,2026-02-06T11:49:00-08:00,41.0,19.94164193867458,,0.0,0.17073170731707318,,0.0,1.0,,79072,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T114900_20260206T114900:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),41.0,41.0,0.0,0.0,0.17073170731707318,0.17073170731707318,0.0,0.0,0.0,0.0
w_20260206T114700_20260206T114700,2026-02-06T11:47:00-08:00,2026-02-06T11:47:00-08:00,36.0,19.94164193867458,,0.0,0.19444444444444445,,0.0,1.0,,78996,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T114700_20260206T114700:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),36.0,36.0,0.0,0.0,0.19444444444444445,0.19444444444444445,0.0,0.0,0.0,0.0
w_20260206T114600_20260206T114600,2026-02-06T11:46:00-08:00,2026-02-06T11:46:00-08:00,34.0,19.94164193867458,,0.0,0.11764705882352941,,0.0,1.0,,78960,high,potential_manipulation,none,1.0,False,[],"[""heuristic"", ""stat_fdr""]","[""bursts"", ""duplicates_near""]",bursts,bursts (62.5%); duplicates_near (37.5%),burst:w_20260206T114600_20260206T114600:stat_fdr (62.5%); near_dup_fraction:heuristic (37.5%),34.0,34.0,0.0,0.0,0.11764705882352941,0.11764705882352941,0.0,0.0,0.0,0.0
